kernel;gamma;beta;moving mean;moving variance
0;0.8186612;-0.2664072;-2.1777084;25.669537
1;1.0218102;-0.17702071;-4.392125;37.135796
2;0.9774647;-0.52094066;-4.37707;25.450739
3;1.2478024;-0.533015;-5.241854;39.321407
4;1.114994;-0.49877772;-4.826491;38.406555
5;1.1274719;-0.3467933;-4.775442;38.175476
6;1.1138163;-0.4629526;-7.2382097;45.471764
7;0.6266917;-0.22764246;7.437456;31.56178
8;1.2638669;-0.2819261;-6.352221;48.810173
9;0.76176476;-0.11501319;-1.1839364;30.102621
10;0.7107025;-0.32206023;3.5579188;29.377832
11;1.0079964;-0.27177516;-2.361529;47.352123
12;0.9615945;-0.5025224;-5.513728;25.29325
13;1.0125415;-0.33710128;-3.500242;33.874416
14;0.84061384;0.06561473;-3.5520566;31.190525
15;1.3451501;-0.18160656;-5.3681874;44.18137
16;1.2312906;-0.20988089;-5.371058;42.214676
17;1.1301337;-0.41109505;-2.7010462;23.508677
18;1.1691831;-0.30355754;-3.7789855;42.857906
19;0.77401006;-0.3058432;1.6190488;26.89574
20;1.0168315;-0.1534317;-2.2332907;40.107254
21;0.8139632;-0.26978204;-1.1267022;19.675102
22;0.96084636;-0.14926632;-1.7812233;34.69124
23;1.2909025;-0.4798471;-5.494594;54.861893
24;0.9946444;-0.13945198;-2.706718;41.1962
25;1.0450066;0.0828071;-6.2766376;47.88246
26;0.91389674;-0.10307889;-4.3423915;39.51847
27;0.8446563;-0.4749835;-1.1755587;19.726746
28;0.77101684;-0.06068285;-1.9550747;26.167143
29;0.7972342;-0.23116735;-1.2969728;21.69403
30;0.8917777;-0.21048255;-3.8172095;29.488035
31;1.093144;-0.13301921;-4.4023366;37.0436
32;1.4510473;-0.5286263;-4.2975073;47.89941
33;0.8567849;-0.45323163;-1.9261754;23.730936
34;1.0370138;-0.31862426;-3.031432;24.9491
35;1.0425861;-0.21654032;-4.410185;40.293747
36;0.8728836;-0.04479694;-4.0924687;33.94544
37;1.0631318;-0.02799499;-3.873261;33.501038
38;1.0621626;-0.31195623;-2.9828072;38.373028
39;1.2459244;-0.35763973;-4.7569027;34.967823
40;1.0856513;-0.3127159;-4.36654;31.20902
41;0.8566517;-0.29201522;-2.2410858;42.285664
42;1.0500766;-0.36913452;-3.1796577;40.96645
43;0.8174243;-0.020837156;-1.214465;31.650942
44;0.93408126;-0.43126944;-3.8855035;26.984795
45;0.825144;-0.4588048;-0.57660794;21.706203
46;0.95192313;-0.14316146;-6.0039716;39.288593
47;0.8211166;-0.35512084;-1.9007558;29.038643
48;1.1361595;-0.42918172;-5.749115;27.83042
49;1.0033423;-0.38910782;-5.4389544;41.129955
50;1.0864967;-0.09839431;-5.041188;40.55342
51;1.0166864;-0.23754139;-4.5249634;28.531637
52;1.0231749;-0.22150159;-2.045706;32.992893
53;1.457281;-0.52181864;-6.075102;55.482822
54;1.334041;-0.58215654;-4.4989233;46.058487
55;1.1144398;-0.31929272;-3.174877;37.014862
56;1.4292719;-0.44605172;-6.563704;48.35135
57;0.86318105;-0.7835143;1.4310766;16.68583
58;1.493587;-0.719802;-5.3440857;48.71235
59;0.8498169;-0.17036848;0.65862924;22.549614
60;0.9436579;-0.51626605;-3.0400474;28.326916
61;1.0874568;-0.627707;-3.826479;28.538374
62;0.97619617;-0.08842957;-4.3211536;40.208324
63;0.83485913;-0.31773677;-1.9795619;26.555147
