kernel;gamma;beta;moving mean;moving variance
0;0.94770646;-0.97710735;-5.193371;16.07529
1;0.83499783;-0.6633527;-1.7047938;13.732734
2;0.95011777;-0.68746203;-0.39061606;24.03193
3;0.9568169;-0.89999455;-8.631613;22.961914
4;0.86200905;-0.7235712;-4.3728895;11.158545
5;0.84430724;-0.5625933;-0.91865456;20.929327
6;0.92877823;-0.8537382;-10.36944;30.823816
7;0.78205365;-0.5887704;-6.1917443;14.591485
8;0.9511458;-0.75467175;-5.0385265;19.853745
9;0.9469021;-0.88931674;-8.04085;20.851288
10;0.80040884;-0.54822445;-1.2545431;17.618246
11;0.88482386;-0.50588316;4.247125;24.125301
12;0.8908707;-0.94328207;-3.1997342;15.934842
13;0.8128997;-0.5853918;-2.161734;17.056818
14;0.7413085;-0.36143148;1.4811627;14.376283
15;0.8717542;-0.823622;-9.337972;20.672287
16;0.85508823;-0.63489205;2.3816116;15.078155
17;0.9254081;-0.84301007;-3.5230427;17.296146
18;0.87293065;-0.7271173;-6.416268;15.8115015
19;0.90470046;-0.80270463;-6.026085;23.03818
20;0.85112375;-0.9024422;-5.6507573;14.369979
21;0.90005726;-0.7485504;-2.3606737;16.8336
22;1.0104929;-0.7911731;-1.0300705;23.113785
23;0.9225007;-0.624473;-3.620066;17.598837
24;0.9269312;-0.7692759;-3.958836;22.111588
25;0.96351117;-0.7293413;-3.568319;21.052416
26;0.94642794;-0.921201;-6.9759727;19.374128
27;0.91806763;-0.90074575;-2.7035563;14.538729
28;0.98073083;-1.2566614;-9.670693;14.57552
29;0.75903785;-0.60547835;-3.0646868;15.851194
30;0.92048997;-0.6599223;-8.026979;21.50864
31;0.7889451;-0.633246;-3.142803;14.053615
32;0.90348125;-0.8290035;-5.9923553;13.7977
33;0.8634546;-0.8803731;-4.5584784;21.449528
34;0.7436085;-0.5147235;-2.5855138;14.305376
35;0.8665682;-0.6299812;-3.6903906;14.61251
36;0.8118418;-0.58408755;-4.7246537;16.22193
37;0.74689835;-0.6209565;-3.789968;17.169138
38;0.66679823;-0.5482766;-4.0825253;12.72812
39;0.995254;-0.7596176;-9.083488;23.189089
40;0.7043537;-0.5569976;-2.4338763;15.314759
41;0.8338233;-0.7652395;-6.4604173;17.538975
42;1.0027274;-0.83662695;1.2963123;25.10656
43;0.79633534;-0.64829606;-3.8678885;13.337063
44;0.8033357;-0.58810025;-2.6519997;15.281419
45;0.95551926;-0.6053505;-5.563231;26.768328
46;0.7658801;-0.68179095;-2.2367005;15.141531
47;0.86263245;-0.5334802;-7.006321;20.805435
48;0.8299831;-0.61133665;-3.795559;18.419996
49;0.73113596;-0.5749049;-3.1742013;13.825532
50;0.7932846;-0.73009795;-3.5687883;13.445922
51;0.9622728;-0.8644411;-4.596338;20.216375
52;0.8680273;-0.7436724;-2.6593604;15.506607
53;0.93787074;-0.75325316;-6.1881623;20.63427
54;0.88643575;-0.8460321;-4.2059956;15.313194
55;1.030372;-1.1986434;-6.6770716;17.529097
56;0.91643906;-0.54943377;-8.33172;22.337162
57;0.88929003;-0.7120702;-5.2525024;19.799704
58;0.903901;-0.5913524;0.0033673234;30.580603
59;1.0315554;-0.6663431;3.407548;20.728598
60;0.8769632;-0.6880817;-0.642478;17.28097
61;0.9411825;-0.80721927;-3.2879052;18.529797
62;0.8520159;-0.77763045;-6.2200656;14.501131
63;0.9096246;-0.81845593;-4.327519;18.376556
