kernel;gamma;beta;moving mean;moving variance
47;0.9846887;-0.07800115;0.54426175;2.2997108
48;0.9980334;-0.033409234;-0.76680666;1.8795567
49;0.9888376;-0.010690082;-1.0773139;1.4709486
50;1.0169834;-0.029712945;-0.42063674;2.1971917
51;0.9920936;-0.0071475953;1.545133;1.8326454
52;1.0107183;0.00878368;0.91495323;2.5687675
53;1.0188091;-0.030640872;0.6009785;3.5396335
54;1.0041444;0.01501419;-1.1618592;2.3018982
55;0.9801778;-0.0032861538;-0.8878626;1.5824255
56;1.0316131;0.026778653;0.49406666;1.8268229
57;1.015667;-0.02173718;0.3423525;1.7896992
58;0.9765422;-0.08832927;0.78391695;3.845734
59;0.98672336;-0.045369044;0.89144325;2.4081306
60;1.0468725;-0.047755726;0.36029;4.221823
61;1.0087637;-0.04378336;0.9875732;3.218599
62;1.0598223;0.023116082;-0.888617;3.0893688
63;1.0047516;-0.008040609;0.7030144;2.0959463
64;0.98979896;-0.004124592;0.91004753;1.5530149
65;0.97318375;-0.033958524;0.74403375;1.5270717
66;0.9910458;-0.0040078675;-0.29733753;2.03349
67;1.0089567;-0.009096154;-0.38036305;2.8114834
68;0.9899357;-0.008290798;0.55053663;2.0512943
69;0.97134113;-0.029320294;0.5201339;1.2137393
70;1.0119193;0.009768036;-0.363218;1.5363414
71;0.95524037;-0.0772276;0.42881733;2.275375
72;0.9838647;-0.029189145;-1.420702;1.6315372
73;0.99221635;-0.0041905916;-0.8804667;2.0178523
74;0.9881625;-0.017123437;0.8191735;1.9921391
75;1.0040959;-0.03261085;1.2064028;2.2698321
76;1.0187769;-0.034678645;-0.078311376;2.1680205
77;1.0111495;-0.008242325;1.426166;3.0626867
78;0.98477304;-0.00862087;-1.7659551;2.363734
79;1.0232316;-0.014801961;-1.0859534;2.9385874
80;0.98800164;-0.03275606;-1.786733;2.2446764
81;1.0201328;-0.0019657079;-0.35782918;1.7066197
82;1.0151356;-0.0069993045;0.811337;2.468798
83;1.0324517;0.03680451;-0.4528396;1.5155103
84;1.0004404;-0.010487298;-1.4245033;2.7976623
85;0.96947896;-0.05555197;1.0136372;2.3400214
86;1.0049397;-0.05996421;1.2746818;2.8873718
87;0.99736625;-0.058905486;1.7093437;3.7391722
88;0.98612136;-0.006414332;0.42324463;2.02089
89;0.9696201;-0.029079966;-1.0248536;1.7322172
90;0.9835797;-0.0028624397;0.5238982;2.3799021
91;0.99446034;0.0022049337;0.5618998;2.1492877
92;0.9990048;-0.016550876;0.056364313;1.9984077
93;0.9817696;-0.0065167206;0.119094744;2.0389543
94;0.95370585;-0.0756372;1.2828712;2.6398337
95;0.96737987;-0.027312169;0.3829381;1.6548885
96;1.028037;-0.002721595;0.8043906;3.15596
97;1.023892;-0.077212565;1.5219754;4.1506987
98;0.979738;-0.018116461;-1.655819;1.9064126
99;0.9908323;-0.04724932;2.184628;2.7462602
100;0.9861812;-0.018540133;-1.3081086;2.0522485
101;0.9891654;-0.035736013;1.3508561;1.7416631
102;0.9883925;-0.0178475;1.6417713;1.5370367
103;0.9843537;-0.04741475;1.1769071;2.3889647
104;0.9427165;-0.062298354;1.2480776;1.2923542
105;0.99895144;-0.013714126;-0.84367204;1.9006929
106;1.0054965;-0.01274596;1.0065819;1.8997557
107;0.97565615;-0.047786478;1.2130734;2.2700634
108;1.0337588;-0.09238409;0.8936732;4.3428617
109;0.9856856;-0.002578229;0.4717659;2.2403316
110;0.99161273;-0.023258423;-0.21593119;2.5749195
111;0.99679;-0.047640566;0.45681223;1.9648578
112;1.0240887;0.009014223;0.27870235;2.0945423
113;0.9574772;-0.038148466;-0.6320924;1.8914999
114;0.9594182;-0.07175207;0.5092795;1.8445365
115;1.042636;-0.010331239;-1.2672398;2.2686417
116;0.9939365;-0.02103155;-0.36488464;1.2965916
117;0.9868179;-0.05461451;-1.9606662;2.8221068
118;1.0468374;0.018974256;-0.686864;2.4556437
119;1.0481004;0.020575602;-0.18650104;1.9795393
120;0.9726686;-0.00028507336;0.36424622;1.7116076
121;1.018937;-0.053598974;0.7991243;3.026439
122;1.0201192;-0.10922575;1.2124478;3.6251924
123;1.0030979;-0.042800285;-0.15107203;2.0079668
124;0.99597704;-0.02696919;-1.100516;2.8064773
125;1.0080035;-0.034933392;-1.1280488;2.4574027
126;1.00682;0.014835255;0.1413283;1.7459235
127;1.0179538;-0.001850107;-0.38440645;1.8341241
