kernel;gamma;beta;moving mean;moving variance
0;1.0017471;-0.037249546;-1.2951014;2.4122639
1;0.9561995;-0.0348975;0.42701083;1.9806551
2;0.99089676;-0.0061336467;0.40866604;2.0999095
3;1.0164229;0.0020699785;0.102880135;1.5188301
4;0.9879627;0.01680009;1.2899736;2.3010318
5;0.98732126;-0.02590745;1.5314555;2.1279104
6;0.99484956;-0.015621861;-0.9076213;1.9441319
7;1.0275325;-0.041755866;1.3290172;2.7028174
8;1.0060718;-0.013703729;0.02952693;1.6751158
9;1.0176129;-0.012773115;0.36375874;1.8284575
10;0.9585706;-0.017021826;0.17534256;1.1799209
11;1.0169182;-0.009291013;-1.4445812;2.2180715
12;1.0266032;-0.021618485;-0.96691734;1.9215574
13;1.0042166;-0.01586544;1.5116509;2.707276
14;0.99329126;-0.017621;-0.7721914;1.58472
15;0.9842653;-0.031984583;0.92582077;2.8106978
16;0.9891447;-0.034577988;0.79112333;1.9037491
17;0.99831426;-0.020481247;-0.5646362;1.7362305
18;1.0131671;-0.057326;1.4525312;4.1952186
19;1.0080063;-0.052779958;1.9194896;3.8104298
20;1.0275317;-0.0620119;0.54102445;2.8730884
21;1.0037608;-0.0803928;1.4210134;3.6062045
22;1.0076581;-0.032886133;0.49604198;2.5349262
23;0.9924118;-0.022660987;0.36392778;1.3001001
24;1.0235325;-0.068694256;1.1943779;3.0931404
25;0.9967161;-0.03139593;-1.8709613;2.3215244
26;1.0454899;-0.024994027;0.015688391;1.9889333
27;0.9812632;-0.01175241;-0.021546975;1.2633672
28;0.9887593;-0.012978359;0.985692;1.3464607
29;1.0005776;-0.015641239;-1.5415996;2.6055114
30;1.0246177;-0.039821766;1.5855418;2.9082654
31;1.0012511;-0.053239;1.602944;2.5244458
32;1.0287428;0.030873433;-0.45659673;1.8560964
33;1.0114098;0.0019088739;-0.9226907;2.5708547
34;1.0355492;0.02465784;0.8121742;2.179044
35;0.962677;-0.046022374;1.3364261;1.9196901
36;0.9839504;-0.04252034;0.28222305;1.8604547
37;0.9496024;-0.023896456;1.4351445;1.7768767
38;1.0014645;-0.04277162;-0.118145496;3.0140915
39;0.9738369;-0.060762193;0.7997959;2.3311353
40;0.98933446;0.010067577;0.6488393;1.5105256
41;1.0128748;-0.01577458;0.48255292;1.7747297
42;0.9786086;-0.102202184;1.9268299;4.2066483
43;0.9836271;-0.029567553;-0.54357904;1.9907217
44;0.990873;-0.019491129;-0.31166774;2.0261216
45;1.0052665;-0.008789894;-0.21144445;2.02613
46;0.97218114;-0.052096598;1.4285046;2.2082965
