kernel;gamma;beta;moving mean;moving variance
43;0.9558469;-0.60458523;-4.280723;32.687515
44;1.0031147;-0.82114697;-5.8245487;30.020899
45;0.9597981;-0.87454164;-2.162279;24.80862
46;0.8124043;-0.5090666;-4.986931;26.877775
47;0.9010466;-0.7655015;-5.819932;29.938807
48;0.9258463;-0.6382488;-5.3570304;36.820065
49;0.8953029;-0.626035;-6.059677;29.015694
50;1.0505455;-0.49178806;-8.728764;37.609573
51;1.0014715;-0.63670623;-0.6333344;38.175205
52;0.8166763;-0.6777086;-2.0097787;22.45396
53;0.8480207;-0.5997626;-5.911966;37.524105
54;0.9535808;-0.5193928;-6.7246575;34.90792
55;0.9394444;-0.60376334;-3.0966341;31.360773
56;0.8766512;-0.9486908;0.24042885;19.919018
57;0.9235459;-0.6821602;-2.4658496;34.5807
58;0.81744266;-0.5427632;-1.2610077;30.32827
59;0.78908867;-0.43104914;2.1882424;30.044981
60;0.90882283;-0.7317918;-3.6578236;25.039335
61;1.0308553;-0.75784457;-4.1011777;34.300575
62;0.8589698;-0.5175727;-7.7555747;33.54712
63;0.9586575;-0.6067227;-6.9960914;28.1767
64;0.89056;-0.65956867;-5.031402;24.132362
65;0.850802;-0.52245736;-1.4113944;29.430935
66;0.8535758;-0.60297394;-3.3423748;31.197855
67;0.84686774;-0.41717112;-1.9943258;32.495667
68;0.9863604;-0.6610906;-4.93271;31.930248
69;0.83689064;-0.67575717;-2.3498518;25.466597
70;0.8394778;-0.7419196;-3.282932;26.005583
71;0.93013674;-0.6487721;-3.6606007;29.386787
72;1.023775;-0.62641966;-5.3740273;39.731754
73;0.8643841;-0.8239926;-0.23877846;24.011938
74;0.8132364;-0.5599661;-1.4650172;26.58452
75;0.92905915;-0.7021264;-3.5127714;32.95839
76;0.75634485;-0.33314312;-5.372412;30.526577
77;0.94103295;-0.6379058;-1.8228703;31.40996
78;0.91921675;-0.7686988;-5.5057173;27.093164
79;1.0576925;-0.49663168;-7.1465325;37.496967
80;0.9717735;-0.48157597;-4.245186;31.80671
81;0.87200755;-0.75943416;-0.61511385;31.072144
82;0.84619814;-0.4412861;-3.9244926;38.53735
83;0.8843682;-0.6346371;-3.1032183;26.115938
84;0.93730766;-0.5521187;-4.4176455;31.47163
85;0.84936225;-0.5199204;-5.6420665;29.54481
86;0.8093188;-0.8992493;1.3217444;23.621374
87;0.8979299;-0.8479884;-0.04931611;22.125692
88;0.8126631;-0.5295149;-4.602243;23.623058
89;0.8823669;-0.41704723;-5.29388;34.60195
90;0.96717376;-0.80578285;-5.693575;26.545216
91;0.78711367;-0.7206509;3.0110807;25.418346
92;0.96886384;-0.58473825;-4.0130763;35.80276
93;1.0564135;-0.73170173;-6.762124;33.51945
94;1.1273228;-0.68746746;-13.015923;44.579742
95;0.86928934;-0.45032668;-4.1112638;28.929016
96;0.9344373;-0.593998;-4.4743776;32.547173
97;1.0877122;-0.7797531;-3.1325798;34.188614
98;0.9150573;-0.72442544;0.4094584;30.779547
99;1.0571758;-0.7027724;-7.318804;35.463547
100;0.9216316;-0.5415102;-4.744958;30.04636
101;0.7863149;-0.602266;-1.6065342;23.715796
102;0.8672971;-0.75651526;1.5725638;27.884447
103;0.93141085;-0.59481794;-5.0175905;31.350313
104;0.9513939;-0.66152996;-6.495875;31.098825
105;0.8230623;-0.5161866;-2.2603626;24.665985
106;1.1346922;-0.64971787;-9.462948;54.914433
107;0.84467524;-0.92247146;2.6604838;21.586355
108;0.72279274;-0.5934723;1.7409705;22.86548
109;0.83995163;-0.78397125;-2.9717753;22.810047
110;0.9376118;-0.45197117;-5.165474;34.50009
111;0.771362;-0.7506327;-0.17724577;21.568989
112;0.9716073;-0.5840347;-4.0784693;38.902386
113;1.0032899;-0.8806148;-3.9834375;24.387375
114;0.81422806;-0.5382154;-7.307109;32.313976
115;1.0571026;-0.5475178;-5.6248612;41.815666
116;1.0248144;-0.80279505;-5.4426174;28.371029
117;0.9076251;-0.2993789;-6.288546;35.399235
118;0.8397053;-0.59783316;-5.320298;25.630468
119;1.02877;-0.48896664;-3.977967;35.63921
120;0.9686933;-0.46703395;-4.8187604;28.677906
121;0.9302019;-0.5584732;-8.699051;35.794754
122;0.96994734;-0.73625857;-4.284644;28.163038
123;0.92561877;-0.6061927;-1.6348497;29.829441
124;0.9163321;-0.6552502;-1.3597293;26.398476
125;1.0232402;-0.80494016;-5.6926274;26.409313
126;0.7742466;-0.21621974;-6.1992183;33.90545
127;1.0672255;-0.61505055;-10.13857;43.294624
