kernel;gamma;beta;moving mean;moving variance
0;0.9849666;-0.5093787;-3.9063728;34.112
1;0.928291;-0.50866956;-6.3613343;36.82123
2;0.82373756;-0.7152899;-1.2497579;20.516958
3;0.86545914;-0.501578;-2.222845;26.496922
4;0.8744119;-0.45473444;-4.381695;36.44807
5;0.8139194;-0.6715962;2.0263326;23.536108
6;0.8970711;-0.48615465;-4.0932217;30.827126
7;1.0521574;-0.67106783;-6.0123134;33.149426
8;0.8945372;-0.39390266;-5.6800566;38.69495
9;1.0756012;-0.6771228;-4.367048;33.938198
10;0.8372333;-0.55082893;-1.0885998;27.309093
11;1.102388;-0.38484368;-11.47901;56.728107
12;0.916671;-0.47408628;-6.315894;28.864092
13;1.0531688;-0.95893234;-5.9094944;24.114029
14;1.1111641;-0.86334145;-3.980323;31.926207
15;0.9429506;-0.6982524;-3.7106829;31.485336
16;0.8458106;-0.541035;-1.14658;25.71768
17;0.8108226;-0.6361885;-3.5488944;21.907187
18;0.8061138;-0.46356955;-1.3076268;31.798304
19;0.8752153;-0.78031695;-2.4420052;26.100307
20;1.0182599;-0.6458173;-7.4011135;34.855892
21;0.8395419;-0.5822997;-1.0191315;27.025448
22;0.7886758;-0.6035233;-3.6756108;24.578955
23;0.77046025;-0.3585433;-5.935241;29.078459
24;0.87410706;-0.50929916;-3.683099;27.559631
25;0.88417256;-0.6456305;-1.4536241;28.9516
26;0.9662883;-0.5832641;-3.681436;36.905094
27;0.9988131;-0.51505864;-4.4551463;37.80624
28;0.7257587;-0.5696981;-2.1600785;24.595888
29;0.8222693;-0.8336879;-3.2799718;20.710798
30;1.0265356;-0.7409728;-4.1718016;35.81062
31;0.7621971;-0.4671582;-4.196591;25.508438
32;0.8340576;-0.36779273;-1.5635791;26.930716
33;1.0317537;-0.4327233;-5.7420554;36.781822
34;0.7766721;-0.42597958;-3.6941211;25.438118
35;1.08996;-0.686424;-8.20167;42.48991
36;0.79256254;-0.38193685;-6.109141;30.889978
37;1.1528807;-0.68904626;-3.894677;47.444157
38;1.0177479;-0.595793;-4.1498537;40.113655
39;0.967878;-0.6642119;-5.2599564;37.43506
40;0.9800111;-0.80881464;-6.243297;30.176344
41;1.1665316;-0.6464062;-3.273073;35.035175
42;0.8927069;-0.69749737;-2.7190044;29.208193
