kernel;gamma;beta;moving mean;moving variance
0;1.0124084;0.21807103;-0.026658814;0.15357341
1;0.6721671;0.23934634;-0.03389341;0.06752322
2;1.0001363;1.0031556;0.15223315;0.005234069
3;0.8504661;-0.64516056;0.6688325;0.14646037
4;0.6996909;0.04947923;-0.0631352;0.17136124
5;0.9431556;0.22104125;-0.23359373;0.13439927
6;1.0469265;-0.7466619;-1.0020761;0.31101173
7;1.0454104;-0.30270767;-0.067326374;0.113002546
8;0.5664893;-0.16107057;-1.1708901;0.5224336
9;0.70517135;-0.5300373;0.90149754;0.23618028
10;0.57526886;-0.24072383;0.37647027;0.0766434
11;1.256527;0.62309766;-0.16360389;0.020578643
12;0.88568795;0.27266958;-0.15480459;0.048598386
13;0.82892555;-0.44734994;-0.16223435;0.058197025
14;1.1853291;0.49637803;-0.08634575;0.052974503
15;0.97053933;-0.16663879;-0.037419345;0.2071485
16;1.0935515;0.1704874;-0.09792529;0.18634593
17;0.6327683;0.18912703;0.050417293;0.05220067
18;1.0639338;0.4115018;-0.2012608;0.030206593
19;0.9625648;0.8701871;-0.2429554;0.011502253
20;0.77798504;-0.15563957;-0.11248729;0.04035654
21;0.8654508;-0.03934935;-0.08108877;0.013795949
22;0.962143;0.6927696;-0.21594568;0.0075984756
23;0.75870645;-0.3846849;-0.2536997;0.055069506
24;0.8651734;0.46599266;-0.10926345;0.019041343
25;1.1030757;0.35086107;0.14824247;0.03852692
26;0.41262007;-0.116051376;0.58078057;0.19281943
27;1.0348555;-0.7679602;-0.9334777;0.3923914
28;1.3253092;0.7433502;-0.028236723;0.0097725
29;0.8333476;-0.06064198;-0.18829435;0.022955185
30;1.1237699;-0.108137555;0.094082944;0.10851996
31;1.8882703;0.9850226;0.0041716173;0.01081136
