kernel;bias;d0_w00;d0_w01;d0_w02;d0_w10;d0_w11;d0_w12;d0_w20;d0_w21;d0_w22;d1_w00;d1_w01;d1_w02;d1_w10;d1_w11;d1_w12;d1_w20;d1_w21;d1_w22;d2_w00;d2_w01;d2_w02;d2_w10;d2_w11;d2_w12;d2_w20;d2_w21;d2_w22
16;-0.084812604;0.22510707;0.42355427;0.17205846;-0.10238739;-0.011714507;-0.26253352;-0.2337176;-0.11901722;-0.2279162;0.17461883;0.46094254;0.30453342;-0.23245396;-0.13625385;-0.2683909;-0.0014772597;-0.06597181;-0.37011698;0.23044851;0.56603163;0.38457912;-0.20290394;-0.18756042;-0.38255858;0.10302298;0.0021162406;-0.3673028
17;-0.035080843;-0.36069435;-0.12157858;-0.11361833;-0.12242576;-0.07606892;-0.0067332718;0.41693813;0.40947738;0.28325978;0.20847024;0.26122698;-0.21546794;0.241009;0.27586675;-0.05585008;0.3525802;0.32114178;0.028881624;-0.09683185;-0.0029666016;0.30419308;-0.5481702;-0.32563144;-0.20621662;-0.32312378;-0.4938317;0.019889928
18;-0.2168847;-0.075435564;-0.16102062;-0.14440821;-0.12537938;-0.42753577;-0.17780437;-0.13013126;-0.23481832;0.096450016;-0.042765286;0.37356067;0.04505094;0.51214415;0.72958666;0.19064693;0.35218284;0.43771434;0.16640995;-0.08296223;-0.100790575;0.075316705;-0.11583526;-0.27418935;-0.20285818;-0.23666774;-0.46830186;-0.052071255
19;-0.27554008;-0.3164067;0.0046051987;0.34271803;-0.28847826;0.09787107;0.6496579;-0.34054628;-0.42808938;0.25745153;0.013245835;-0.14253373;-0.15209533;0.07988542;0.12680492;-0.030986119;0.26585683;-0.22144698;0.09752741;0.2660593;-0.176004;-0.18353167;0.31067932;0.060101222;-0.46374327;0.46088126;-0.13758957;-0.18116683
20;-0.10139715;0.40224427;-0.04365715;-0.12067096;0.5547939;-0.09622925;-0.19351678;-0.3794507;-0.026793245;0.017106937;0.08690479;-0.2851063;-0.24371482;0.4705947;0.0063056885;-0.33454496;-0.3036397;0.08083157;0.33365047;0.2957838;-0.046905704;-0.24621215;0.33174875;-0.05418973;-0.3074942;-0.3419945;0.13290405;0.35536772
21;-0.034062184;-0.33833307;0.12061024;-0.092146285;-0.38799095;-0.27104107;0.03406492;0.26070598;0.19152145;0.4875142;0.41999876;0.5532923;0.28390247;0.12222375;-0.10234673;-0.14894643;0.011686717;-0.47539762;-0.5438852;-0.03930207;-0.112586185;-0.18713051;-0.04712103;-0.3109866;-0.1559602;0.2823049;0.15879457;0.25722116
22;-0.2242993;0.11399107;0.032911234;0.43647814;-0.051918644;0.11849413;-0.39449376;0.07830915;-0.359358;-0.14816508;0.11660587;0.15973724;0.12508576;-0.12544867;0.55213606;-0.21913841;-0.05971288;-0.34021658;-0.057762895;-0.3221128;-0.5286906;-0.32271907;-0.04602214;0.53805774;0.025318814;0.0288572;0.29357237;0.32257575
23;0.03290787;0.10236872;-0.14365962;0.29799026;-0.35256755;0.017560765;-0.19154987;-0.24505423;-0.13604313;-0.31150082;0.20779699;0.052526005;0.10698459;-0.003096569;0.32964602;0.28249604;-0.13763233;0.3437196;0.06622765;-0.2487595;-0.86488134;-0.6096358;-0.012299477;0.16443901;-0.12591577;0.13538176;0.4578752;0.0318966
24;-0.11665783;0.13504122;-0.19315471;0.059252094;0.3274116;-0.25136116;-0.01415304;-0.017495498;-0.34692433;0.15213323;0.31915176;-0.06410439;-0.43548408;0.7391947;0.14234376;-0.27800438;0.22391516;-0.20797679;-0.23256867;-0.39669085;-0.060794983;0.34013382;-0.14748023;0.07963256;0.37966704;-0.36707273;-0.14339183;0.2902594
25;0.16233;0.18047671;0.060175184;0.4339327;0.6293486;-0.071875386;-0.20637104;0.00017358421;-0.60137415;-0.3682576;-0.19458179;-0.3697161;0.13236995;0.2525032;-0.38162953;0.0074749556;0.3840083;-0.08446297;0.15324733;-0.16806012;-0.3051029;0.13090351;0.07003245;-0.07830219;-0.1347773;0.39725223;0.10649694;-0.025609797
26;-0.022847895;0.04346451;-0.055904027;-0.18214919;0.41249496;0.0072348523;0.035225656;0.2489565;-0.08733988;0.049386434;-0.43198064;-0.15042947;-0.022846358;0.14923152;-0.18120332;-0.12907234;-0.14255518;-0.4112208;-0.29118183;-0.1557508;0.32150626;0.7288206;0.2737714;0.5623461;0.8897808;0.02066692;-0.12601392;0.18914439
27;-0.057989158;0.26120228;0.35490933;0.27494362;0.21308759;0.117514566;0.31284517;0.07015028;-0.3602387;-0.057566386;0.27309254;0.22880797;0.01861383;-0.16699414;-0.24649444;-0.13697101;0.059813887;-0.51176023;-0.118103296;-0.030199848;-0.24920225;-0.17531577;-0.287031;-0.78536206;-0.33585125;0.016727593;-0.67283267;-0.022651905
28;-0.02491982;0.31588954;0.48756516;-0.37414646;0.35164917;-0.35696632;-0.1263534;0.19836946;-0.17454594;-0.2599897;-0.16004671;0.09073817;0.3358099;-0.50359076;-0.50351715;0.4211379;-0.048055712;0.024131516;0.20416167;-0.16324972;0.29898295;-0.24734439;-0.20127627;-0.053611718;-0.049126036;0.19459765;0.39677972;-0.022730596
29;-0.079528086;-0.08241827;0.043073934;0.3307064;0.1934903;0.67725927;0.3781758;0.06229981;-0.1492671;-0.2194045;-0.36771813;-0.5367602;-0.32608312;-0.2950239;-0.35079437;-0.41368175;0.21687452;0.21481349;-0.14393969;0.17313623;0.1736218;0.30762243;-0.04133782;0.114626125;0.0041802735;-0.19283697;0.08722768;0.032286957
30;0.10205221;-0.45217016;-0.17874008;0.547601;-0.26993227;0.056678727;0.51536554;-0.055888824;-0.10039084;-0.041678093;-0.51542896;-0.3099598;0.47218633;-0.37355652;0.009899308;0.5164315;0.007346224;0.038349405;0.090442106;-0.10163398;0.018691275;0.092881;-0.064739786;0.10005057;-0.0012113014;0.22370206;-0.071710125;-0.1778961
31;-0.0009920275;-0.04509809;0.044448037;0.051042832;0.27648124;-0.82977986;0.3947915;-0.02570869;0.12918873;0.0054291035;-0.015323339;-0.096262954;-0.0715947;0.38594595;-0.7569822;0.36175194;-0.024527675;0.27397823;-0.056535024;-0.109006904;0.28453207;-0.032896042;0.36960196;-0.316586;0.123277605;-0.22530359;0.078109436;-0.12177913
