kernel;gamma;beta;moving mean;moving variance
0;0.96831435;-0.012696175;-0.27067593;0.6415537
1;1.0140165;0.005720498;-1.5141655;0.83947104
2;0.99871314;-0.049937367;0.056396097;1.0008903
3;0.9694457;-0.03374472;0.008857136;0.90332854
4;0.97373116;-0.013183218;0.30131307;1.115474
5;0.95277154;-0.018377958;0.1413863;0.68890125
6;1.0364352;-0.002353471;-1.2903969;1.3546152
7;1.0046482;0.006846174;1.1749787;1.0483419
8;1.0139917;0.031441104;0.1861942;0.63410914
9;0.9845649;-0.04484317;0.107152306;1.1354245
10;0.99245375;-0.015337298;-0.20140159;1.029039
11;0.98701394;-0.054943904;1.2459717;0.821669
12;0.96565145;-0.027033769;0.0015946769;0.73363256
13;1.0035824;0.025487978;-1.2650254;1.0962651
14;0.9833086;-0.018474825;-0.6508294;0.8012033
15;0.99729836;-0.021162443;-1.4564886;1.3455175
16;1.0543168;0.03305666;-1.7392662;1.2857854
17;1.0353657;0.011154699;-0.46523958;0.90806806
18;1.0525292;0.04273492;-2.3494647;1.6963937
19;1.0235;-0.0033033825;0.5454199;1.2437153
20;0.9849775;-0.015200987;0.17271581;0.7912026
21;1.0057718;-0.122897185;0.31945604;1.058711
22;1.0151938;0.061450433;1.0590034;0.923485
23;0.9658103;-0.1264544;0.1656754;0.75211906
24;0.97000647;-0.036642555;0.5943352;1.0767239
25;0.97695595;-0.037713464;-0.52228194;0.840721
26;0.9926767;0.003533829;0.500807;0.6460037
27;1.0073446;0.042787313;1.2394141;0.79063183
28;1.0166485;0.0028882013;0.15533999;0.9196639
29;1.0320393;0.018556839;-0.7691322;0.8533984
30;0.9954241;-0.023891961;0.094876856;0.808608
31;1.0587031;0.0037228526;-0.42051616;0.7429741
32;1.014909;0.02051054;-0.6012091;1.0991353
33;1.017745;-0.021633578;0.10380915;1.1715218
34;0.97785974;-0.019996908;0.06964048;0.9726457
35;0.9739116;-0.015499725;-0.63360465;0.8198534
36;1.0205225;-0.040776663;1.0698677;0.9645646
37;1.0177274;0.020377483;-0.6182077;0.90192646
38;1.0251082;0.0075187744;-1.461079;1.0172616
39;1.0170594;-0.010022242;0.36329284;0.9012718
40;1.0307922;0.06093139;-1.2647212;1.0462977
41;1.0221338;0.008004311;-0.49901924;0.9106175
42;0.98968387;0.0088984;0.8050596;0.8715768
43;0.95742387;-0.048284013;-0.19435899;0.8007756
44;0.9807347;-0.016181316;-0.6785861;0.75190854
45;0.9888876;-0.010812424;0.7996375;0.6139159
46;1.001273;0.021051193;-1.8836831;1.412203
47;0.99308413;-0.0045685438;-1.3404288;0.9190407
48;0.98517877;0.0098282695;-0.19252571;1.0990949
49;0.9579043;-0.023446081;0.64019954;0.8167146
50;0.9905544;-0.015883198;0.4264348;0.8993998
51;0.9941287;-0.003045191;-0.5348688;0.6757226
52;0.98811483;-0.0050096437;0.2531638;0.99169654
53;0.9822642;0.010992238;0.7176312;0.6621301
54;0.9588625;-0.03823418;-0.22804387;1.2075856
55;1.018182;-0.034554627;0.1051149;0.8268632
56;0.96886027;-0.04444453;0.13479057;0.64225143
57;1.0453355;-0.11297011;0.5390587;1.062688
58;0.9842993;-0.016400008;0.4402104;0.67220604
59;0.98639745;-0.045038953;0.8101438;1.0637672
60;0.9942938;-0.0076909647;-0.65927416;0.69461673
61;0.99863976;0.022937212;-0.2211008;0.8641203
62;1.0071415;0.038334176;-0.3667645;0.8481274
63;1.0116103;-0.019868227;1.0264633;1.2345669
