kernel;gamma;beta;moving mean;moving variance
55;0.91171587;-0.118651986;-1.2278489;6.7877016
56;0.9051133;-0.11269724;-0.39782187;5.7842827
57;0.8492302;-0.09203479;1.7596471;8.279507
58;0.8900188;-0.12474021;-0.04756583;5.8108454
59;0.91912436;-0.12410199;-0.5535748;9.313593
60;0.911914;-0.11941121;-1.977862;13.346377
61;0.9208813;-0.10980687;-1.8421886;11.914339
62;0.92789596;-0.08377789;-1.211128;7.077131
63;0.894767;-0.12859963;-0.49572125;3.7493207
64;0.8629943;-0.12095368;0.89105976;4.422671
65;0.82243997;-0.11785906;0.19525044;5.330998
66;0.92559576;-0.10666433;-1.4816982;6.760782
67;0.8149046;-0.10323117;-1.1481574;3.530592
68;0.92245865;-0.09579658;-1.0121082;7.207809
69;0.9442197;-0.084260315;-0.62223864;8.817281
70;0.9353443;-0.10264897;-0.7227;8.085343
71;0.8600389;-0.11469383;-1.2670931;5.4379716
72;0.92905277;-0.103621334;-0.67561996;5.405309
73;0.8060144;-0.13666616;0.95832336;5.531431
74;0.92078817;-0.11808359;-0.42619327;7.5342407
75;0.91368496;-0.09999022;-0.47119382;4.330073
76;0.90299785;-0.103336126;-1.3921627;6.6586685
77;0.87721497;-0.123882405;-1.6291288;8.066762
78;0.8947846;-0.14626083;-1.2319399;9.306409
79;0.92219454;-0.1072901;-0.6930006;7.683545
80;0.94049484;-0.08489244;-0.57504505;12.102562
81;0.89613515;-0.11118009;-1.0445968;5.5064216
82;0.9063221;-0.1291018;-1.2964112;9.641016
83;0.9148425;-0.09840827;-2.1211727;10.107682
84;0.9156628;-0.1261812;-1.297819;5.637081
85;0.8899766;-0.114168845;-1.3200004;5.011621
86;0.9138577;-0.08700337;-0.7354458;3.6359577
87;0.9090551;-0.1189972;-1.4310858;9.504015
88;0.9253628;-0.10176268;-1.2332003;4.81751
89;0.90201694;-0.10183917;-1.3752646;9.320181
90;0.9336834;-0.092307694;-2.1863787;17.069542
91;0.89441174;-0.13683714;-1.6155696;15.398976
92;0.9306266;-0.09222927;-1.0299062;10.0877695
93;0.92257166;-0.07184279;-1.4790701;7.3736587
94;0.91647047;-0.108889334;-0.5070779;6.3690786
95;0.916881;-0.10641511;-1.4323943;8.159789
96;0.8482506;-0.11552278;0.67277914;2.9112914
97;0.92991596;-0.05675108;0.43346334;4.4043684
98;0.9095429;-0.108860195;-1.2815591;4.5645432
99;0.90407723;-0.11006093;-1.3635279;6.9558444
100;0.8227806;-0.08552656;1.1575648;4.215688
101;0.79009676;-0.13542548;0.6502864;4.118695
102;0.9199055;-0.083372906;-1.5432872;9.707687
103;0.9354763;-0.09043519;-1.208861;10.136077
104;0.8428537;-0.12961142;-0.38217586;4.4899826
105;0.9072034;-0.08762021;-0.94113207;6.423539
106;0.92146605;-0.09689128;-1.1981418;9.858738
107;0.9104405;-0.13001141;-1.3876804;7.5782905
108;0.9200414;-0.12349324;-0.71469367;8.365092
109;0.84606045;-0.13605277;-0.42103332;3.2457497
110;0.92513347;-0.10795261;-1.0199265;5.016447
111;0.89361274;-0.14310938;-0.5838796;3.1645029
112;0.9114646;-0.12356649;-1.0238602;6.407626
113;0.89689076;-0.13979873;-0.5864685;4.657355
114;0.89536655;-0.14375561;-0.9755537;7.3662453
115;0.8684955;-0.098625906;-1.0728043;3.0646899
116;0.9369143;-0.07767845;-0.9404684;9.551352
117;0.9150143;-0.10033564;-1.1872554;6.868159
118;0.91931593;-0.117644936;-1.1044632;4.7957926
119;0.8199786;-0.11110795;-0.062277872;3.850098
120;0.8795099;-0.14600323;-1.2654467;10.649875
121;0.9150386;-0.10965127;-1.3345975;5.39484
122;0.9228472;-0.11335701;-1.0404615;4.1103463
123;0.9294068;-0.102140054;-1.0995737;6.2672176
124;0.9193828;-0.11309264;-0.47017947;5.8968105
125;0.91929007;-0.10732293;-0.95616907;6.883048
126;0.87379634;-0.081507675;-1.0274779;4.789096
127;0.90306807;-0.13426691;-1.8375927;4.836194
