kernel;gamma;beta;moving mean;moving variance
0;0.8950132;-0.11317289;-1.4868456;3.7808998
1;0.89486337;-0.12963042;-0.81336206;4.22131
2;0.8996354;-0.124418676;-1.2183616;11.364685
3;0.9148983;-0.11830655;-1.4558922;7.549858
4;0.93148786;-0.10368218;-0.6166252;9.401831
5;0.9134197;-0.12996413;-1.1653345;7.2028036
6;0.8622574;-0.13714142;-0.8041614;6.288477
7;0.89806414;-0.14097442;-0.42939612;5.5634675
8;0.86778283;-0.12134494;-0.1376564;3.778389
9;0.9195202;-0.108595304;-0.9493102;8.826368
10;0.9078718;-0.11158401;-1.6116185;11.775327
11;0.9126221;-0.11985163;-1.4611291;9.650076
12;0.8917358;-0.13563557;-1.2187008;8.804129
13;0.906016;-0.10742832;-1.348504;6.8790197
14;0.9354289;-0.11691979;-1.3447016;10.044884
15;0.8775172;-0.111704394;-0.11927089;7.0487795
16;0.93572253;-0.096058965;-1.6820284;9.775173
17;0.9308987;-0.08075564;-1.1825033;9.443623
18;0.8301724;-0.09659613;0.97952163;3.2996237
19;0.8588094;-0.09816916;0.73927116;5.2453723
20;0.9171181;-0.09665382;-0.7390542;10.412457
21;0.82091546;-0.15289877;-1.2637142;4.3823504
22;0.9122968;-0.07696679;-1.5805432;5.2104793
23;0.8907102;-0.12265412;-0.69107723;6.4152927
24;0.8952391;-0.13909544;-1.2472141;9.368032
25;0.87377095;-0.096669406;0.5636162;3.3613858
26;0.90617096;-0.113347955;-1.6855011;5.836824
27;0.90871793;-0.11301801;-0.28719974;5.8552465
28;0.90191704;-0.10584089;0.4002234;3.3866613
29;0.9148483;-0.10096409;-0.88933617;5.112686
30;0.9165433;-0.108612455;-1.5525705;8.887718
31;0.90915656;-0.12196118;-0.21562886;4.9527135
32;0.88304156;-0.12840956;-0.77906907;3.4685664
33;0.92101717;-0.085049994;-0.7629018;5.94501
34;0.80428284;-0.13048837;0.2676449;3.738868
35;0.928747;-0.09218872;-1.5670291;9.692243
36;0.9266063;-0.097258;-0.18655531;6.869209
37;0.93477076;-0.089899264;-1.1900604;6.145807
38;0.8163573;-0.15988395;-0.22158064;3.3935132
39;0.8844001;-0.11296825;-1.1442045;8.323389
40;0.92555314;-0.095168814;-0.999061;5.496239
41;0.9082395;-0.114660755;-0.49636203;6.755692
42;0.93523014;-0.09880019;-1.4164181;6.9675426
43;0.91419595;-0.12617381;-0.03456304;4.5707793
44;0.9107351;-0.120153815;-1.5138555;10.87324
45;0.9022441;-0.13760704;-1.1624715;5.1695185
46;0.91911376;-0.09394799;-0.6666256;4.9127874
47;0.9291592;-0.09242019;-1.5404392;10.884708
48;0.9052048;-0.109923474;-1.1911837;6.5999618
49;0.86756945;-0.09288738;-0.38540077;3.115441
50;0.9029902;-0.12117213;-0.8432679;8.486537
51;0.84833854;-0.11677409;-0.9318305;7.058158
52;0.91846436;-0.09290027;-1.4251236;10.984448
53;0.81412816;-0.12951237;-0.71188474;4.799606
54;0.8591697;-0.099756055;-0.7356033;3.8704183
