kernel;gamma;beta;moving mean;moving variance
0;0.40943316;-0.3871562;-4.517702;16.40145
1;0.48402855;-0.5602187;-4.565401;14.513756
2;0.4900577;-0.60801536;-6.550434;17.374199
3;0.4789904;-0.59173846;-5.742069;13.616465
4;0.46551108;-0.62110865;-3.6232433;14.325129
5;0.39595348;-0.49128303;-3.492025;12.699986
6;0.48755634;-0.6469095;-7.072175;17.975496
7;0.477315;-0.6663355;-5.9671187;13.00581
8;0.4685846;-0.60870516;-3.705072;15.936433
9;0.4228231;-0.5540942;-4.357644;13.46549
10;0.48555377;-0.534788;-3.961734;18.97279
11;0.5008642;-0.6458372;-5.987076;16.669682
12;0.528016;-0.6150067;-5.058995;17.346743
13;0.35840613;-0.43976274;-4.9659305;12.351437
14;0.50296324;-0.6768124;-5.3160777;14.188474
15;0.49201474;-0.72845685;-6.5632977;15.842691
16;0.48701227;-0.6897398;-7.344103;16.702444
17;0.45972013;-0.6078759;-4.9863224;18.562979
18;0.5129807;-0.7260021;-4.2008395;15.595629
19;0.496398;-0.70216465;-5.540177;16.009087
20;0.51814497;-0.5742726;-3.9309728;19.384802
21;0.45798445;-0.6794042;-5.481661;12.57671
22;0.5113494;-0.6935508;-5.4616046;15.214818
23;0.418416;-0.5632814;-5.1291966;13.432406
24;0.45603245;-0.555445;-3.9454346;14.368402
25;0.45985314;-0.7183256;-4.29594;13.28483
26;0.3918919;-0.5150604;-5.4484468;14.261866
27;0.4498229;-0.5424233;-5.7273836;14.358395
28;0.5492359;-0.702774;-7.1497097;18.905178
29;0.44344816;-0.5745376;-5.3133116;14.7863035
30;0.56479967;-0.69646966;-6.773288;20.120241
31;0.5296786;-0.77432054;-5.8129215;16.482958
32;0.42355448;-0.5563494;-5.0412817;16.759155
33;0.47431362;-0.7019724;-5.629487;17.082724
34;0.43798938;-0.6226299;-4.746308;15.6112585
35;0.5115521;-0.54737127;-5.092576;20.798891
36;0.48833618;-0.59212923;-5.623565;16.01058
37;0.43406674;-0.59722894;-6.2326756;16.018526
38;0.43754572;-0.59254616;-4.495553;16.439253
39;0.42602012;-0.57391375;-4.1170855;16.101597
40;0.4454448;-0.4705113;-5.813597;17.398561
41;0.40210626;-0.50926864;-4.6236963;12.882829
42;0.4777326;-0.6347723;-5.412705;16.414686
43;0.4172434;-0.35087943;-3.9402938;15.482831
44;0.55012536;-0.62141085;-4.6051865;20.433708
45;0.41689706;-0.31466165;-2.7606947;22.02366
46;0.48301965;-0.58529395;-6.170772;15.837879
47;0.43399334;-0.4918967;-6.2101727;17.320318
48;0.47238705;-0.69003105;-6.17407;17.737648
49;0.45489162;-0.6312163;-4.8524246;14.968814
50;0.45458755;-0.66603833;-6.0939336;15.192536
51;0.43099034;-0.58867633;-1.4566418;15.31478
52;0.46947736;-0.5948111;-5.1238627;16.23498
53;0.37856758;-0.550802;-4.2794666;14.002408
54;0.5086932;-0.65638185;-3.7262921;16.594995
55;0.5431793;-0.77327937;-5.9940486;16.755476
56;0.4390671;-0.55047035;-4.098849;15.756507
57;0.45461494;-0.541752;-6.333468;17.263147
58;0.48641634;-0.6583031;-6.3002357;17.43761
59;0.49290445;-0.60539967;-3.3687854;16.014692
60;0.48785913;-0.6821827;-3.4638374;13.897234
61;0.5530228;-0.768934;-3.5452483;17.138655
62;0.43317997;-0.483734;-4.6020865;16.70272
63;0.42349738;-0.59369;-1.1919411;14.551077
64;0.43415543;-0.4555811;-3.5299754;17.251354
65;0.484036;-0.65390605;-6.617524;19.163025
66;0.40825167;-0.42966363;-4.040121;15.538286
67;0.3883653;-0.41748467;-5.3334165;14.635354
68;0.5089623;-0.6570897;-6.0222225;17.07712
69;0.53409797;-0.7184395;-5.371555;15.0314
70;0.4833112;-0.6043397;-3.4356098;16.64309
71;0.47389448;-0.59478414;-5.0211005;20.34577
72;0.46185324;-0.5671387;-3.803922;15.101648
