kernel;gamma;beta;moving mean;moving variance
73;0.49765494;-0.5802648;-6.325097;17.459118
74;0.4844865;-0.6337587;-5.8380747;15.976479
75;0.43580732;-0.5480011;-6.0540204;16.383846
76;0.4543727;-0.5002723;-4.844466;18.82396
77;0.42975423;-0.5184614;-6.184674;15.242925
78;0.42508018;-0.54656214;-2.401607;13.259552
79;0.49492702;-0.5201132;-5.345036;20.038841
80;0.44299573;-0.5461623;-2.3612282;15.572318
81;0.4696863;-0.7000399;-6.2076497;15.500837
82;0.4805526;-0.52541703;-4.6963663;15.710022
83;0.56394;-0.8466269;-5.8192916;16.817978
84;0.4476012;-0.53936094;-4.139445;14.87472
85;0.480742;-0.6270207;-6.629966;21.02861
86;0.45772707;-0.56719625;-4.165358;15.904145
87;0.47848222;-0.56132036;-5.732468;19.172245
88;0.49878767;-0.5732548;-6.419246;19.352106
89;0.45387268;-0.6000699;-6.8221107;17.831726
90;0.44519225;-0.65005106;-3.1846454;12.472216
91;0.49421787;-0.6063301;-3.963352;18.689228
92;0.4726395;-0.4927642;-3.7063944;19.857029
93;0.55708385;-0.7838911;-6.3130717;17.483957
94;0.43548915;-0.5015017;-3.8376157;16.138485
95;0.36071575;-0.44584712;-2.782479;14.278234
96;0.5222217;-0.55395013;-4.6364627;25.342903
97;0.521001;-0.49070734;-7.1187863;20.041862
98;0.46470317;-0.6115057;-5.0598145;19.553158
99;0.5303021;-0.6970718;-5.9481096;18.319973
100;0.45777738;-0.5696842;-6.5451717;17.20016
101;0.4618061;-0.5737326;-2.7368603;15.045595
102;0.46044847;-0.5287245;-4.3221226;15.347151
103;0.49764445;-0.59026366;-5.8535576;17.152153
104;0.43713704;-0.54397094;-5.8436284;13.596678
105;0.49836624;-0.7584336;-4.9487753;14.419525
106;0.5194842;-0.68278235;-5.141628;20.883863
107;0.47270685;-0.5163177;-4.9069743;17.723444
108;0.4857741;-0.63487536;-3.7418354;14.157065
109;0.43082532;-0.5339302;-4.425189;13.759167
110;0.512106;-0.6027136;-4.555474;19.282396
111;0.48159537;-0.56758046;-7.2717524;18.264317
112;0.43827036;-0.5947186;-6.0727134;15.669798
113;0.51458275;-0.6362663;-6.925677;19.756704
114;0.49464247;-0.7017533;-6.2482595;14.515364
115;0.42588946;-0.5583984;-3.955067;14.235863
116;0.46564373;-0.55470705;-5.4818196;13.921369
117;0.43964735;-0.5376796;-5.5371633;17.12818
118;0.43999937;-0.50222826;-5.700354;15.559699
119;0.51098937;-0.6589654;-5.387925;15.273267
120;0.44207862;-0.5206298;-4.823863;15.231795
121;0.4841413;-0.5855013;-4.299925;17.8367
122;0.45529336;-0.59653956;-6.336038;15.261002
123;0.55045474;-0.62650985;-5.204205;22.736862
124;0.48441502;-0.6970422;-5.704243;15.822339
125;0.46356884;-0.56600946;-5.2522397;19.257301
126;0.4001107;-0.4051017;-4.93313;20.028105
127;0.47812426;-0.61935157;-5.0223327;12.704625
