kernel;gamma;beta;moving mean;moving variance
0;1.0012933;-0.08385383;-0.23139738;0.37603673
1;1.0007265;-0.006346902;-0.5160989;0.33904895
2;1.0093514;-0.046152223;-0.19558126;0.46791977
3;0.98787796;-0.048908465;-0.3930698;0.4379729
4;1.0003563;-0.015359874;0.17309693;0.35617557
5;0.99980646;-0.053481586;0.22463891;0.36362913
6;1.0197419;-0.05506891;-0.34106004;0.43196237
7;1.0198512;-0.032052577;-0.10854906;0.6008019
8;0.9892626;-0.026080655;-0.13162738;0.52950245
9;0.9780779;-0.05522312;-0.20903198;0.27205247
10;0.989735;0.0063292515;0.20615752;0.48622626
11;1.0127033;-0.07432086;-0.0651553;0.25694552
12;1.0067837;-0.0019959821;-0.18583456;0.3760963
13;0.97771573;-0.018110411;-0.13559026;0.38914242
14;1.0303118;-0.0723789;-0.3244718;0.7558055
15;1.0352885;-0.05538175;-0.3550177;0.428904
16;0.98838186;-0.04309531;0.8860425;0.75786424
17;1.0054822;-0.04445514;0.5570562;0.65169317
18;0.9656305;-0.030029826;0.18127243;0.7060896
19;0.987513;-0.029161364;0.92247295;0.59566
20;0.9959729;-0.037765034;0.18818223;0.34034792
21;0.9956955;-0.0077976543;0.63394594;0.6714263
22;0.99997276;-0.026559418;0.25776595;0.5692672
23;1.0408976;-0.047646508;-0.31885168;0.22099172
24;0.9509493;-0.0409023;0.3173789;0.3924609
25;0.9905997;-0.08023664;0.41635817;0.47625816
26;0.9888684;-0.04877726;-0.10486392;0.22739883
27;0.9764081;-0.038356688;1.0974216;0.6073371
28;1.0077677;-0.0035469136;-1.4000514;0.98641205
29;1.0211304;-0.011010293;-0.16384448;0.35105953
30;0.9908031;-0.044269454;-0.6074801;0.9888981
31;1.0260044;-0.022293475;-0.08818987;0.18186659
