kernel;gamma;beta;moving mean;moving variance
0;0.9996665;-0.01647135;-0.70411104;0.9182449
1;0.99048114;-0.051645894;0.5471955;1.0496504
2;1.0056434;-0.020459758;-0.4137107;0.9142065
3;1.0124501;-0.013446005;-1.1873882;0.89366823
4;0.9701582;-0.032500573;0.63529223;0.6610095
5;1.0058389;-0.06297258;0.530228;1.2193716
6;0.9762328;-0.042417474;-1.0450128;1.0357213
7;0.98725253;-0.03563801;0.07015593;0.9355095
8;1.002113;-0.054638155;-0.7609368;0.90769094
9;1.0127388;-0.014431388;0.19241156;0.8890185
10;0.99090177;-0.07005956;0.20649457;1.2742063
11;1.0262102;-0.029268399;0.32064712;0.9256701
12;0.97943443;-0.05515116;0.7580456;0.77186006
13;1.0291908;-0.008489747;-0.27653575;0.6137289
14;1.0007316;-0.0076749097;0.052132685;0.9267605
15;1.0003207;-0.029456638;-0.14460741;0.7151974
16;1.004387;0.0015779445;1.1122464;0.9643017
17;0.9816288;-0.057355843;0.2810332;1.0938249
18;1.0003898;-0.07567322;0.80578446;0.7972849
19;0.99993205;-0.038663857;0.4494237;0.785134
20;0.9790581;-0.032881137;0.46787483;1.0898887
21;0.9886164;-0.07587402;-0.39795104;1.0472654
22;1.010312;-0.029780451;-0.9007235;1.042456
23;1.0264174;-0.035163727;0.80950534;1.0487766
24;0.9881086;-0.00723477;-0.26729965;1.0633296
25;0.9852064;-0.011096719;0.15412034;0.9540162
26;1.03786;-0.03600272;-0.05447719;1.1605058
27;1.0294803;-0.020017324;0.2561637;1.3114232
28;0.98240674;-0.05990081;0.15642564;1.232112
29;0.9952643;-0.018823389;-0.47077945;0.65260166
30;0.9945776;-0.046688974;0.007964383;1.1576618
31;0.97296375;-0.022172611;-0.49143964;0.71391356
32;0.9673151;-0.039380636;-0.10948008;0.7247723
33;0.98451936;-0.026831016;0.29409355;0.6719916
34;1.0056224;-0.0052500167;0.032919783;0.79905146
35;1.0011839;-0.058194403;0.8063679;1.079315
36;1.0208491;-0.016247781;-0.4780567;0.82687217
37;0.9850804;-0.03238107;-0.43521905;0.80071443
38;0.9876542;-0.041407846;0.82694936;1.0928197
39;0.99514043;-0.036624644;0.046116084;0.62986827
40;0.9949426;-0.017712696;0.026891192;0.7349448
41;0.9862029;-0.018782906;-0.36322194;0.73921317
42;1.0151236;-0.02940915;-0.2535418;1.2016408
43;1.006046;-0.036016785;0.04551779;1.109355
44;0.99287206;-0.0130236745;-0.5642245;0.75168204
45;1.0446705;-0.07618037;1.4881477;1.5932482
46;1.0254239;-0.035708312;0.8842385;1.1758341
47;1.004343;-0.03339634;-0.29544955;0.75384164
48;0.9712339;-0.050699096;-0.5259024;0.7906307
49;0.99572885;-0.056276593;0.40061057;0.92334795
50;0.964407;-0.03111008;-0.5395293;0.5825515
51;1.0012289;-5.4067714e-05;-1.4096748;1.1623324
52;0.9978013;-0.051386733;0.5428393;0.77120274
53;1.019964;-0.02649183;-0.0121618435;0.9129045
54;0.9760393;-0.034658786;-1.6757728;1.3876592
55;1.0070143;-0.03656934;0.9699252;1.0328035
56;1.010541;-0.031065615;-0.69438106;0.5202655
57;0.9924576;-0.03321244;0.8108229;1.371151
58;0.9781241;-0.032598663;0.15643674;0.87662625
59;1.0265656;-0.032379672;0.26270598;1.3513545
60;1.014198;-0.038966224;-0.3630464;1.5694939
61;1.0198874;0.015104456;0.04054676;1.0500445
62;1.0384889;0.015936758;-0.0048866672;0.70690215
63;0.9774163;-0.0026868635;-0.85692126;0.5970882
