kernel;bias;d0_w00;d0_w01;d0_w02;d0_w10;d0_w11;d0_w12;d0_w20;d0_w21;d0_w22;d1_w00;d1_w01;d1_w02;d1_w10;d1_w11;d1_w12;d1_w20;d1_w21;d1_w22;d2_w00;d2_w01;d2_w02;d2_w10;d2_w11;d2_w12;d2_w20;d2_w21;d2_w22
14;-0.017825272;-0.05976048;0.046361685;0.07306396;0.051733468;0.01925694;0.09090257;-0.0148196705;-0.0755299;0.04230533;0.043456934;-0.013646229;-0.009961155;-0.07033237;0.059867237;-0.02166659;-0.06081681;-0.00478956;-0.014652148;-0.050935827;-0.050796174;-0.1085115;-0.12495548;-0.055106457;0.14951771;-0.10779935;-0.101830885;0.18097158
15;0.0022863434;0.08270668;-0.06192248;0.11329957;0.03432415;-0.054154612;-0.13845707;-0.09056744;0.076659255;-0.019529462;-0.02395741;0.13991424;0.16534035;0.019966224;0.014572515;0.078936085;0.051995225;-0.1445726;0.05354818;-0.013324247;0.040599138;0.11127933;0.025071936;-0.043063257;-0.08794784;-0.06753139;-0.13633864;0.100040205
16;0.004030881;0.029126968;-0.05694007;-0.045955036;0.029375933;0.08397165;-0.014754319;-0.15439817;-0.053886283;-0.041257247;0.09537313;0.018202985;0.10601833;-0.020477945;-0.008577839;0.032446515;0.088362046;0.024405612;-0.1049782;0.0063738846;0.08741905;0.15304507;-0.0788114;-0.06599048;-0.08420786;0.099494345;0.06462828;-0.10852724
17;-0.0096621355;-0.110637486;0.00016199861;-0.03170533;-0.005504529;-0.030017473;-0.0032884125;0.099426314;0.061937053;0.16618758;0.0757966;0.09667762;-0.0752661;-0.020536477;0.005866601;-0.039826762;0.083187394;0.033133373;0.05805262;-0.107388616;-0.04680529;0.0979949;-0.12465708;0.112407304;-0.13867629;0.0012672703;-0.110292196;0.08945993
18;-0.014260642;-0.06401542;-0.0027081708;-0.12459538;-0.0017610134;-0.12609811;-0.005457219;-0.098036334;-0.02804832;0.032775532;-0.11320305;0.0994339;0.00673362;0.09115079;0.13380972;0.08497588;0.1268278;0.11271577;0.09886308;-0.11653157;-0.06264838;0.07973738;0.12307668;0.01996519;0.008294666;0.014996999;-0.11715674;-0.0022379747
19;-0.02033312;-0.13892034;-0.040778887;0.049607296;0.08810543;-0.020564947;0.124157466;-0.1083948;-0.0815061;0.07780116;0.029969452;-0.067199506;0.023698557;-0.020475624;0.032258876;0.034402277;0.027504016;-0.15284732;0.03653696;0.11367447;-0.105172694;0.08944211;-0.015102669;0.04970614;-0.047731232;0.06739338;-0.09619855;-0.08299858
20;-0.02873622;0.14045626;0.036985308;0.032648426;0.13158716;-0.072046176;0.014550026;-0.06166053;0.09392843;-0.019147255;-0.12346203;-0.07844384;0.005536605;0.10897515;0.07651636;-0.15337224;-0.088060915;-0.003475275;-0.027857238;0.14528409;0.036929306;-0.12424402;0.05013523;-0.01554627;-0.11238889;-0.07297475;0.07671405;0.0653627
21;0.019133948;-0.09379637;0.16503319;-0.08217547;-0.0808861;-0.030348709;-0.059229627;0.1268188;-0.05616708;0.04066782;0.11323742;0.111118816;0.12631063;0.03030995;0.0049906103;0.011096267;0.08856286;-0.13345249;-0.07446955;0.050357193;-0.08922258;-0.11081523;-0.041974954;-0.13302375;-0.11997639;0.03573399;0.00013736918;-0.02950055
22;0.028484857;-0.037743744;-0.11501546;0.08119284;0.07514978;-0.011019831;-0.11488691;0.03989586;-0.014607049;-0.059655655;0.044714227;0.10079594;-0.057355236;-0.057462875;0.1075995;-0.024721203;0.08741718;-0.13498591;0.035808373;-0.09046563;-0.09515644;-0.13780084;0.082428925;0.11723125;0.031468492;0.02583709;0.09053143;0.022664528
23;0.004897589;-0.12160618;-0.08739284;0.06318734;-0.089643225;0.11163645;-0.09154044;0.012315736;0.0076347864;0.041609034;0.041902166;0.056538783;-0.027496004;-0.011278156;-0.009591283;0.105046086;-0.06628127;0.12110524;0.12893553;-0.13918127;-0.1358619;-0.13691682;0.021863073;0.13748626;-0.019609092;-0.1392317;0.1272522;-0.03622374
24;-0.0027788256;0.08841104;-0.16165607;0.05736843;0.11161622;-0.1456689;0.057367604;-0.015857494;-0.092166275;0.066336125;0.057908133;-0.03341458;-0.06593392;0.111086085;-0.060931344;0.06577953;0.09580901;-0.123566404;-0.06855672;-0.107505746;-0.11742968;0.11756539;0.06389698;-0.05325528;0.13751446;-0.03547957;-0.034991562;0.013422705
25;0.01759873;0.03976265;-0.10800821;0.08569203;0.12620546;0.011564242;-0.10655404;-0.023426449;-0.10058494;-0.013865231;-0.013288017;-0.10892778;0.027183196;0.014625412;-0.115142;0.10689415;0.025365548;-0.12536128;-0.029219614;-0.0060920487;-0.15209027;0.050594803;-0.12751059;0.032636978;-0.13304614;0.07030615;-0.019580029;-0.144203
26;0.017580567;0.0777569;0.016734658;-0.119841985;0.093834154;-0.093829885;-0.020684054;0.071643636;-0.029387075;0.051662613;-0.1665904;0.060839288;0.05183527;0.12889934;-0.026719328;-0.067668766;-0.10163871;-0.12974863;-0.16045037;-0.050243683;-0.044273384;0.021176873;0.11404008;0.18172717;0.14866412;0.08036305;0.020626025;0.01853465
27;0.012917318;0.05374833;0.012153815;0.029251836;0.08566312;0.0518494;0.11294092;0.08174062;-0.11529274;-0.026100399;0.11527442;0.110097766;-0.072537206;-0.14220807;0.06871909;-0.10406615;-0.022224978;-0.11506141;-0.10148169;0.02656386;-0.06387747;-0.09755608;-0.061505545;-0.11541458;-0.11624058;-0.049903177;-0.03227996;-0.08207599
28;0.032505527;0.08052632;0.14280935;-0.06943312;0.030467289;-0.08235032;0.07886469;0.034244016;-0.00053153175;-0.07833975;0.06744794;-0.12206022;0.10906755;-0.14581825;-0.091191754;0.052256074;-0.012506237;-0.084709;-0.07143732;-0.121571064;0.14383318;-0.020961074;-0.14210548;-0.011032085;-0.094436444;0.09666742;0.062384702;0.052651692
29;0.033729855;0.0723239;-0.06844387;0.1359412;-0.0009782078;0.12210017;0.11277451;0.061012227;-0.120492555;0.072929725;-0.12011879;-0.011728767;-0.10651088;-0.08823642;-0.07844816;-0.12701465;-0.012669867;0.09926997;-0.13612725;-0.11486696;0.047938973;0.066950135;0.038633317;0.092300855;-0.016311003;-0.11729418;0.06561584;0.038670428
30;-0.015188294;-0.068759784;-0.095545165;0.15767275;-0.067356445;-0.05297536;0.043827917;-0.08390208;-0.13716103;-0.05641069;-0.064117104;-0.08781463;0.15606028;-0.12907326;-0.023902306;0.076906696;0.036208563;0.028622657;0.048375655;-0.029888922;0.11291503;0.074313484;-0.094853275;0.047125164;-0.0756227;0.0908789;-0.043225277;0.09317646
31;-0.025930258;0.03767609;-0.052541908;0.05616419;0.06222887;-0.16037308;0.006019248;0.054496285;-0.03210857;0.056133833;0.058450267;-0.1547527;0.10204373;0.07017773;-0.17854333;0.08677822;0.075635076;0.040848423;-0.07095775;0.051672798;-0.14348008;0.14052118;0.15779413;-0.11224471;-0.12001455;-0.06926997;0.011067752;-0.024022525
